Bloque Horario,Materia,Profesor
M/J 12:15-1:45, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,TERESA MORALES
M/J 12:15-1:45, Imparte: SISTEMAS OPERATIVOS  |  Codigo materia: BPTSP04,JULIA MEDINA
L/M 2:00-3:30, Imparte: BASES DE DATOS II  |  Codigo materia: FPTSP26,MARIO GIMENEZ
L/M 2:00-3:30, Imparte: INTRODUCCION A LA INGENIERIA  |  Codigo materia: FBTSP03,MONTSERRAT CAMPOS
L/M 2:00-3:30, Imparte: OPTIMIZACION I  |  Codigo materia: FPTSP17,IVAN DURAN
L/M 2:00-3:30, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,TERESA MORALES
L/M 2:00-3:30, Imparte: SISTEMAS OPERATIVOS  |  Codigo materia: BPTSP04,JULIA MEDINA
M/J 2:00-3:30, Imparte: COMPUTACION EMERGENTE  |  Codigo materia: FPTSP25,SANTIAGO LOPEZ
M/J 2:00-3:30, Imparte: INTRODUCCION A LA INGENIERIA  |  Codigo materia: FBTSP03,MONTSERRAT CAMPOS
M/J 2:00-3:30, Imparte: OPTIMIZACION II  |  Codigo materia: FPTSP19,ANDREA MOYA
M/J 2:00-3:30, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,SERGIO CABALLERO
M/J 2:00-3:30, Imparte: TALLER DE TRABAJO DE GRADO - INGENIERÍA  |  Codigo materia: FPTSP22,DAVID FLORES
L/M 3:45-5:15, Imparte: CONTENIDOS DIGITALES PARA EL METAVERSO  |  Codigo materia: FGESP03,ALBA CASTILLO
L/M 3:45-5:15, Imparte: INTRODUCCION A LA INGENIERIA  |  Codigo materia: FBTSP03,MARIA PEÑA
L/M 3:45-5:15, Imparte: ORGANIZACION DEL COMPUTADOR  |  Codigo materia: BPTSP03,RAMON CALVO
L/M 3:45-5:15, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,SERGIO CABALLERO
L/M 3:45-5:15, Imparte: TALLER DE TRABAJO DE GRADO - INGENIERÍA  |  Codigo materia: FPTSP22,IVAN BENITEZ
M/J 3:45-5:15, Imparte: CONTENIDOS DIGITALES PARA EL METAVERSO  |  Codigo materia: FGESP03,MARIA TORRES
M/J 3:45-5:15, Imparte: INTRODUCCION A LA INGENIERIA  |  Codigo materia: FBTSP03,MARIA PEÑA
M/J 3:45-5:15, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,CARMEN VICENTE
M/J 3:45-5:15, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,ISABEL CASTRO
M/J 3:45-5:15, Imparte: TALLER DE TRABAJO DE GRADO - INGENIERÍA  |  Codigo materia: FPTSP22,NURIA VIDAL
L/M 5:30-7:00, Imparte: ESTRUCTURAS DE DATOS  |  Codigo materia: BPTSP06,LAURA GUERRERO
L/M 5:30-7:00, Imparte: INTRODUCCION A LA INGENIERIA  |  Codigo materia: FBTSP03,SARA MENDEZ
L/M 5:30-7:00, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,CARMEN VICENTE
L/M 5:30-7:00, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,ISABEL CASTRO
M/J 5:30-7:00, Imparte: ESTRUCTURAS DE DATOS  |  Codigo materia: BPTSP06,DANIEL CORTES
M/J 5:30-7:00, Imparte: INTRODUCCION A LA INGENIERIA  |  Codigo materia: FBTSP03,IVAN VARGAS
M/J 5:30-7:00, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,PAULA CRESPO
M/J 5:30-7:00, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,LUIS RUIZ
